,precision,recall,f1-score,support
benign,0.9876746452940539,0.9741069902580756,0.9808439009174706,46808.0
defacement,0.9802041447571914,0.9974819011646208,0.988767550702028,9531.0
malware,0.979395002192021,0.9446088794926004,0.9616874730951356,2365.0
phishing,0.9020568797802034,0.9411217849395723,0.921175355450237,12908.0
accuracy,0.9702982740322851,0.9702982740322851,0.9702982740322851,0.9702982740322851
macro avg,0.9623326680058675,0.9643298889637172,0.9631185700412178,71612.0
weighted avg,0.9709744160893685,0.9702982740322851,0.9705106295300738,71612.0
