,0
path_url_ratio,0.1122607495822645
path_length,0.04294829521781278
num_repeated_chars,0.04046616944154383
subdomain_length,0.03895540016280362
typosquatting_similarity,0.03768941159996896
consecutive_consonants,0.0368537887481461
path_entropy,0.035678574821606905
digit_letter_ratio,0.03417865712074325
path_has_suspicious_ext,0.03342705932209485
num_letters,0.031210157190382296
url_length,0.02985979764309689
num_path_segments,0.029255842185985724
domain_digit_ratio,0.027524136409199196
domain_url_ratio,0.027000477000452158
uses_https,0.02605250429857742
domain_vowel_ratio,0.023681388498508427
tld_length,0.023607083633210388
num_subdomains,0.022875821324873258
has_ip,0.022747150172128583
url_entropy,0.022452953191762028
num_query_params,0.020270845134826986
num_dots,0.020218228299096853
num_digits,0.018807857322078122
query_length,0.018474859404128977
query_url_ratio,0.015084990961219215
num_special_chars,0.013593843709566636
domain_entropy,0.013284097360626959
host_entropy,0.013051830463318441
uppercase_ratio,0.01304270553470427
special_char_ratio,0.012513124765265496
num_hyphens,0.012281160246547696
domain_length,0.012224992352641809
tld_trust_category,0.011739870430879899
longest_token_length,0.01172901972561264
domain_trigram_diversity,0.011624676333727567
is_high_trust_tld,0.011014143843802835
domain_has_digits,0.010508799227876743
domain_bigram_diversity,0.009744574919926498
num_suspicious_words,0.00753325894879344
suspicious_word,0.006698640430161414
num_underscores,0.006152572084451048
is_mixed_case,0.0052765758333216195
is_country_tld,0.00388190406550716
subdomain_count_dot,0.0028144525706476735
has_brand_name,0.0024166691587419404
domain_is_dictionary_word,0.0021528254974616306
num_encoded_chars,0.0018719167427196455
brand_impersonation,0.001639575784461911
suspicious_prefix_suffix,0.001551718953852085
action_word,0.0015202872243057612
is_shortening_service,0.0013526007481106245
is_suspicious_tld,0.0013391884187660729
sensitive_word,0.0012778357562678283
brand_not_in_domain,0.0011701177968023123
has_port,0.0009131419042472253
suspicious_tld_brand_combo,0.0008142287154041293
has_multiple_subdomains,0.0006671600744911064
brand_with_hyphen,0.0006345660168564431
query_has_redirect,0.00023923692671913918
is_typosquatting,8.238254776327429e-05
num_fragments,4.7775788818619015e-05
punycode_domain,1.480997325580741e-05
num_suspicious_symbols,1.5204370632501074e-06
