,0
path_url_ratio,0.09589329022491658
num_repeated_chars,0.04443206942918448
path_length,0.041020580361971884
typosquatting_similarity,0.039299137270908086
subdomain_length,0.039112460258690245
consecutive_consonants,0.03704740683881188
path_entropy,0.03633536421867437
path_has_suspicious_ext,0.033658651960358776
url_length,0.03337926538388265
digit_letter_ratio,0.03329347445561919
num_path_segments,0.028491254992129865
uses_https,0.027322988825860862
domain_digit_ratio,0.027011449368634637
num_letters,0.02679951888516722
domain_url_ratio,0.02514310361467131
has_ip,0.024339929483999986
domain_vowel_ratio,0.02362721492577359
num_query_params,0.022986348929186638
tld_length,0.02243176124525576
num_dots,0.02117190050725515
url_entropy,0.01931395470423208
num_subdomains,0.019117491912608423
num_digits,0.018743213959516225
num_suspicious_words,0.018455328424900143
suspicious_word,0.018238456002074566
num_special_chars,0.01750696699780251
query_length,0.016367557377705615
special_char_ratio,0.01285522498063946
domain_entropy,0.012791861366795276
query_url_ratio,0.012605913416040743
uppercase_ratio,0.012332379222464475
host_entropy,0.012265023797825752
domain_trigram_diversity,0.01212294577946537
is_high_trust_tld,0.011771530223613928
domain_length,0.011594184882169992
tld_trust_category,0.011550526307895298
num_hyphens,0.011319989394093365
longest_token_length,0.010645948088552154
domain_has_digits,0.010155971222800585
domain_bigram_diversity,0.00881842233322342
suspicious_prefix_suffix,0.006731064884292478
is_mixed_case,0.005269462127155552
num_underscores,0.004850517238665909
is_country_tld,0.0031337797652162503
subdomain_count_dot,0.0025396388746071587
has_brand_name,0.0020227900638771085
is_suspicious_tld,0.0019172489266092321
domain_is_dictionary_word,0.0019097521121026985
num_encoded_chars,0.0017891209103807703
action_word,0.0013560896900436713
sensitive_word,0.0012793505772820766
is_shortening_service,0.0011950100895296635
brand_not_in_main_domain,0.0010878595506329585
brand_not_in_domain,0.0010647904933907034
has_port,0.0007610167547217993
has_multiple_subdomains,0.000534419799568985
is_typosquatting,0.0004457704482669201
brand_impersonation,0.00029490428046858165
query_has_redirect,0.00021407152011528624
brand_with_hyphen,0.00010009495992305426
multiple_brands_in_domain,4.795436398773882e-05
num_fragments,3.6559368748164165e-05
suspicious_tld_brand_combo,2.95863293759039e-05
punycode_domain,1.6664231844166595e-05
num_suspicious_symbols,1.968785673684779e-06
has_character_substitution,4.522781469239017e-07
