,precision,recall,f1-score,support
benign,0.9826241210540939,0.982225260639207,0.9824246503627253,46808.0
defacement,0.9685618046340716,0.9955933270380862,0.9818915562913907,9531.0
malware,0.9945652173913043,0.9285412262156448,0.9604198556746119,2365.0
phishing,0.9258854735528164,0.9194298109699411,0.9226463499961128,12908.0
accuracy,0.9709126961961683,0.9709126961961683,0.9709126961961683,0.9709126961961683
macro avg,0.9679091541580715,0.9564474062157198,0.9618456030812101,71612.0
weighted avg,0.9709198018490972,0.9709126961961683,0.9708520010837842,71612.0
