,precision,recall,f1-score,support
0,0.986231647634584,0.9686805674243719,0.977377321276527,46808.0
1,0.970056208482371,0.9959080893925086,0.9828121764340443,9531.0
2,0.9724047306176085,0.9386892177589852,0.955249569707401,2365.0
3,0.8851057557668214,0.9304307406259684,0.9072024776220871,12908.0
accuracy,0.9644193710551304,0.9644193710551304,0.9644193710551304,0.9644193710551304
macro avg,0.9534495856253462,0.9584271538004585,0.9556603862600148,71612.0
weighted avg,0.9653943329173023,0.9644193710551304,0.9647209311485287,71612.0
