,precision,recall,f1-score,support
0,0.9814138445246483,0.97015467441463,0.9757517807453884,46808.0
1,0.9705732093593542,0.996642534886161,0.9834351382130655,9531.0
2,0.9813994685562445,0.9369978858350951,0.9586848366861346,2365.0
3,0.888011432009627,0.9147040594979857,0.9011601282246985,12908.0
accuracy,0.9625900687035692,0.9625900687035692,0.9625900687035692,0.9625900687035692
macro avg,0.9553494886124685,0.954624788658468,0.9547579709673217,71612.0
weighted avg,0.9631348628781423,0.9625900687035692,0.9627656570033792,71612.0
