,precision,recall,f1-score,support
benign,0.9842056624380409,0.9801706827309237,0.9821840285055544,47808.0
defacement,0.9694773376888526,0.996432693316546,0.9827702178299788,9531.0
malware,0.989658273381295,0.9306553911205074,0.9592503813466986,2365.0
phishing,0.8874830074244484,0.8942155726477716,0.890836569749134,9491.0
accuracy,0.9689283907796806,0.9689283907796806,0.9689283907796806,0.9689283907796806
macro avg,0.9577060702331592,0.9503685849539372,0.9537602993578416,69195.0
weighted avg,0.9690965511288752,0.9689283907796806,0.9689514273618764,69195.0
