,precision,recall,f1-score,support
benign,0.9876072449952336,0.9738506238249872,0.9806806936018244,46808.0
defacement,0.97960024726973,0.9975868219494282,0.9885117222020066,9531.0
malware,0.9760348583877996,0.9471458773784355,0.9613733905579399,2365.0
phishing,0.9013006317354143,0.93949488689185,0.9200015172780033,12908.0
accuracy,0.9699352063899905,0.9699352063899905,0.9699352063899905,0.9699352063899905
macro avg,0.9611357455970444,0.9645195525111753,0.9626418309099435,71612.0
weighted avg,0.9706027045047277,0.9699352063899905,0.9701479470495938,71612.0
