,precision,recall,f1-score,support
benign,0.9898173105720276,0.9678296519410977,0.9787000021151935,47808.0
defacement,0.9803962030540652,0.9969572972405834,0.988607397388545,9531.0
malware,0.9823788546255506,0.9429175475687104,0.9622437971952535,2365.0
phishing,0.8423762753885763,0.9307765251290696,0.8843728100911002,9491.0
accuracy,0.9659079413252403,0.9659079413252403,0.9659079413252403,0.9659079413252403
macro avg,0.9487421609100549,0.9596202554698652,0.9534810016975231,69195.0
weighted avg,0.9680419310071275,0.9659079413252403,0.9665639963375213,69195.0
