,0
path_url_ratio,0.09555158338216803
num_repeated_chars,0.04384831469911548
typosquatting_similarity,0.04122355410673139
subdomain_length,0.04008904581198046
path_length,0.03828645980499132
path_has_suspicious_ext,0.03599733893370537
consecutive_consonants,0.03585462722041528
path_entropy,0.03562340324548626
digit_letter_ratio,0.03283879327466982
url_length,0.03259782507533124
uses_https,0.02853753047426192
domain_digit_ratio,0.02786657647329543
num_path_segments,0.027214531181251566
num_letters,0.0269189624008224
domain_url_ratio,0.02594089244016115
has_ip,0.023466414495766967
domain_vowel_ratio,0.023346820542587656
tld_length,0.0224513280987552
num_query_params,0.02187033406559628
num_dots,0.02105129599077048
url_entropy,0.019998828331115895
suspicious_word,0.019657902631377885
num_digits,0.019628397766013935
num_suspicious_words,0.018722497941840527
num_subdomains,0.018631236204778908
num_special_chars,0.01819869131605365
query_length,0.015478765781554566
query_url_ratio,0.013776161846306523
special_char_ratio,0.013243146554449638
uppercase_ratio,0.012803942102142623
domain_entropy,0.012491509839008279
host_entropy,0.012407268648425415
domain_trigram_diversity,0.011879147938274935
tld_trust_category,0.011778328033945464
domain_length,0.011698541156874435
num_hyphens,0.010939250429860927
is_high_trust_tld,0.010891847157753326
longest_token_length,0.01070719194355584
domain_has_digits,0.00998718839791164
domain_bigram_diversity,0.008099590215428594
suspicious_prefix_suffix,0.006809381453133854
is_mixed_case,0.005097729846965804
num_underscores,0.0049015398876547794
is_country_tld,0.0033895728965949866
subdomain_count_dot,0.002432234245676683
has_brand_name,0.002082079231694047
num_encoded_chars,0.0020024934542302664
domain_is_dictionary_word,0.0017319888316584644
is_suspicious_tld,0.0017288054430162564
sensitive_word,0.0013013592608689115
is_shortening_service,0.0012092683425275375
action_word,0.0011926695194624548
brand_not_in_main_domain,0.0011284518584918344
brand_not_in_domain,0.0010960127122505168
has_port,0.0007200168719568297
has_multiple_subdomains,0.0004361255727857272
is_typosquatting,0.0004056358829393823
brand_impersonation,0.0003014741212761874
query_has_redirect,0.00018887898002028974
brand_with_hyphen,0.00011860416118154431
multiple_brands_in_domain,4.454945082105449e-05
num_fragments,3.9905200675184543e-05
suspicious_tld_brand_combo,3.106184984673403e-05
punycode_domain,1.3090219898351867e-05
num_suspicious_symbols,1.8874500250208995e-06
has_character_substitution,1.1729981080180926e-07
