,precision,recall,f1-score,support
benign,0.9826049791644407,0.9823320799863271,0.9824685106246595,46808.0
defacement,0.9686606778276847,0.9955933270380862,0.9819423604284162,9531.0
malware,0.9945652173913043,0.9285412262156448,0.9604198556746119,2365.0
phishing,0.9261687348786389,0.9193523396343353,0.9227479491466117,12908.0
accuracy,0.9709685527565213,0.9709685527565213,0.9709685527565213,0.9709685527565213
macro avg,0.9679999023155171,0.9564547432185984,0.9618946689685748,71612.0
weighted avg,0.9709715069268937,0.9709685527565213,0.9709057444117914,71612.0
